Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num AID+	Num AID+: CD20+	Num AID+: CD20+: CD4+	Num AID+: CD4+	Num AID+: Ki67+	Num AID+: Ki67+: CD20+	Num AID+: Ki67+: CD20+: CD4+	Num AID+: Ki67+: CD4+	Num CD20+	Num CD20+: CD4+	Num CD21+	Num CD21+: AID+	Num CD21+: AID+: CD20+	Num CD21+: AID+: CD20+: CD4+	Num CD21+: AID+: CD4+	Num CD21+: AID+: Ki67+	Num CD21+: AID+: Ki67+: CD20+	Num CD21+: AID+: Ki67+: CD20+: CD4+	Num CD21+: AID+: Ki67+: CD4+	Num CD21+: CD20+	Num CD21+: CD20+: CD4+	Num CD21+: CD4+	Num CD21+: Ki67+: CD20+	Num CD4+	Num Ki67+	Num Ki67+: CD20+	Num Ki67+: CD20+: CD4+	Num Ki67+: CD4+	Num PNAd+	Num PNAd+: AID+: CD20+: CD4+	Num PNAd+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD4+	Num PNAd+: CD4+	Area µm^2	Perimeter µm
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	bb3e9f74-3b9f-477c-9548-f06131865ae9	Annotation		LA	Root object (Image)	Polygon	11751.9	13109.9	33	0	0	2	10	0	0	0	1	0	2	0	0	0	1	6	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	1	0	4446.9	476.53
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	b9c765ae-c3ed-416d-b314-562f329cd987	Annotation		CD21+	Root object (Image)	Geometry	11577.8	13170.1	37	0	0	0	2	0	0	0	0	0	0	0	0	0	1	13	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	0	6355	683.02
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	42913280-8059-47f0-8200-f302584446b2	Annotation		CD21+	Root object (Image)	Polygon	11655.7	13230.1	21	1	0	0	6	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608.5	349.45
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	f4790e9c-8abc-40cb-b25a-5f822f35a7fb	Annotation		CD21+	Root object (Image)	Polygon	11922.2	13673.1	26	1	0	0	9	0	0	0	0	0	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2743.8	428.87
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	ca5631b8-b329-4c5d-8083-01d90d325d90	Annotation		LA	Root object (Image)	Polygon	12322.2	14614.9	38	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	1	0	2	0	0	0	0	0	0	0	0	3295.8	587.72
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	83ae1faa-eaa8-435d-9eae-a0abb35746f1	Annotation		LA	Root object (Image)	Polygon	10446.4	14979.2	23	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1671.5	333.57
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	5d84d24d-b037-41bf-bd4d-7573583c0c1e	Annotation		LA	Root object (Image)	Geometry	9811.7	15351.3	185	0	0	0	2	0	0	0	0	50	25	0	0	0	0	0	0	0	0	0	4	0	0	0	66	1	0	1	1	0	0	0	0	0	0	0	0	15926.9	1794.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	d71fd577-3065-4143-a193-fb49fe51d27e	Annotation		CD21+	Root object (Image)	Geometry	9799.7	15366.2	52	0	0	0	0	0	0	0	0	11	0	4	3	16	0	1	0	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4178.8	635.37
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	6061112a-2367-4479-885d-b6f60a776274	Annotation		LA	Root object (Image)	Polygon	10006.5	15440.4	39	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	3090.8	357.39
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	d5ca04a9-a86c-4c3d-84e0-375e4e1b5c14	Annotation		LA	Root object (Image)	Geometry	10122.7	15855.3	118	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	1	0	0	0	0	0	0	0	0	0	9981.9	1111.9
